Year,Age,Gender,log_Mu
1975.0,0.0,0.0,-4.257263571741215
1975.0,2.0,0.0,-7.329349769020185
1975.0,6.0,0.0,-8.06293791913864
1975.0,12.0,0.0,-8.37309284744248
1975.0,31.0,0.0,-6.95170716651132
1975.0,39.0,0.0,-6.351000723327746
1975.0,48.0,0.0,-5.504603800795824
1975.0,49.0,0.0,-5.469580295985257
1975.0,50.0,0.0,-5.3312538667943015
1975.0,53.0,0.0,-5.1526597941256735
1975.0,80.0,0.0,-2.7540889040152283
1975.0,87.0,0.0,-2.066185788669427
1975.0,93.0,0.0,-1.5056997120183044
1976.0,4.0,0.0,-7.872711182837573
1976.0,31.0,0.0,-7.034452932028095
1976.0,43.0,0.0,-6.0157572396770265
1976.0,46.0,0.0,-5.732181949177899
1976.0,49.0,0.0,-5.482721089546316
1976.0,77.0,0.0,-3.137295837875778
1976.0,78.0,0.0,-3.0152005567493894
1976.0,99.0,0.0,-1.0577765342425225
1977.0,24.0,0.0,-7.333933428687843
1977.0,28.0,0.0,-7.207509932668187
1977.0,54.0,0.0,-5.133990073126361
1977.0,64.0,0.0,-4.307438777683309
1977.0,73.0,0.0,-3.498556659434496
1977.0,82.0,0.0,-2.626336582485895
1977.0,83.0,0.0,-2.504591124064523
1977.0,90.0,0.0,-1.8040972678155722
1977.0,94.0,0.0,-1.4593597999772725
1978.0,5.0,0.0,-8.01339218258721
1978.0,16.0,0.0,-7.604910480939621
1978.0,45.0,0.0,-5.839258614218651
1978.0,46.0,0.0,-5.764807176493975
1978.0,48.0,0.0,-5.591615177785453
1978.0,49.0,0.0,-5.573017404776649
1978.0,50.0,0.0,-5.397033339487194
1978.0,60.0,0.0,-4.572799805957641
1978.0,78.0,0.0,-3.094359950170633
1979.0,22.0,0.0,-7.379360189594847
1979.0,55.0,0.0,-5.061349808640757
1979.0,62.0,0.0,-4.47994822123471
1979.0,97.0,0.0,-1.2574368741952604
1979.0,98.0,0.0,-1.2282142686989703
1980.0,13.0,0.0,-8.381788554410035
1980.0,30.0,0.0,-7.176942768797754
1980.0,31.0,0.0,-7.148553765535068
1980.0,32.0,0.0,-7.107426474111205
1980.0,40.0,0.0,-6.40033544835098
1980.0,60.0,0.0,-4.618356747792267
1980.0,68.0,0.0,-4.00485126773934
1980.0,74.0,0.0,-3.4556430078518763
1980.0,86.0,0.0,-2.196281022624007
1980.0,88.0,0.0,-2.0285963476742674
1980.0,99.0,0.0,-1.1175015731888156
1980.0,100.0,0.0,-0.9653050461633482
1981.0,7.0,0.0,-8.394975558691987
1981.0,14.0,0.0,-8.177155888630528
1981.0,24.0,0.0,-7.389022100506583
1981.0,55.0,0.0,-5.050988648445472
1981.0,56.0,0.0,-4.950057732210651
1981.0,57.0,0.0,-4.923036589617188
1981.0,58.0,0.0,-4.827064517901869
1981.0,94.0,0.0,-1.4916904329653862
1981.0,97.0,0.0,-1.2255097346565922
1982.0,0.0,0.0,-4.575611383746547
1982.0,26.0,0.0,-7.380964039176821
1982.0,28.0,0.0,-7.360311994624152
1982.0,33.0,0.0,-7.084492457482191
1982.0,49.0,0.0,-5.597532354813542
1982.0,59.0,0.0,-4.7658085319509045
1982.0,86.0,0.0,-2.249736508697112
1982.0,95.0,0.0,-1.433570472046611
